time_start,time_end,time_center,duration,stat,dof,reduced_stat,fit_message,successful_fit,Comptonized: A,Comptonized: A_err_low,Comptonized: A_err_high,Comptonized: Epeak,Comptonized: Epeak_err_low,Comptonized: Epeak_err_high,Comptonized: index,Comptonized: index_err_low,Comptonized: index_err_high,Comptonized: Epiv,Comptonized: Epiv_err_low,Comptonized: Epiv_err_high,BlackBody: A,BlackBody: A_err_low,BlackBody: A_err_high,BlackBody: kT,BlackBody: kT_err_low,BlackBody: kT_err_high,PowerLaw: A,PowerLaw: A_err_low,PowerLaw: A_err_high
1,1.25,1.125,0.25,219.48653529723003,440,0.49883303476643187,Max. number of function evaluations reached,True,0.25476935489034985,0.008214390690402473,0.006216584150436022,194.20233115524815,10.275268169579846,9.580006370260918,-1.0715809277252202,0.017718700435053192,0.0339721101511663,0.0003492738657663863,6.704185067569845e-05,4.978319728033754e-05,22.159946184906282,1.2257846814048463,0.8991184965099954,2.229960137248299e-05,2.229950137248299e-05,0.002292032111463171,-1.5468638751008053,2.431146470960842,1.356305008803143
1.25,1.5,1.375,0.25,262.04858598957185,440,0.5955649681581179,Max. number of function evaluations reached,True,0.24284983110885783,0.003005937795379443,0.009439075003087605,208.31731499779562,5.285503388230097,12.439924885046594,-1.0298173172726397,0.031922989957706926,0.012269586413279798,0.00036336827967541584,2.875926206289775e-05,5.569452160851155e-05,22.59945745513344,0.5509844419945686,0.8873469900553559,7.543600313542065e-05,7.543590313542065e-05,0.003739088508763737,-1.540637557653957,1.9256827410875856,1.1283017625948166
1.5,1.75,1.625,0.25,214.3160836321255,440,0.48708200825483067,Max. number of function evaluations reached,True,0.31669363636699427,0.009177661509709889,0.010436175059818309,197.35701347364846,7.9780073377958445,9.016567246916424,-0.8323985269503567,0.030745727020999536,0.02947680176693479,0.0005759094966041774,0.00015429766658664072,0.00017204667819741633,16.705263880630852,1.435695600827719,1.3125797327574027,1e-10,0.0,0.0029568850513652647,-1.7683997717171,7.667072264068825,3.5437525917798753
1.75,2.0,1.875,0.25,214.3160836321255,440,0.48708200825483067,Max. number of function evaluations reached,True,0.31669363636699427,0.009177661509709889,0.010436175059818309,197.35701347364846,7.9780073377958445,9.016567246916424,-0.8323985269503567,0.030745727020999536,0.02947680176693479,0.0005759094966041774,0.00015429766658664072,0.00017204667819741633,16.705263880630852,1.435695600827719,1.3125797327574027,1e-10,0.0,0.0029568850513652647,-1.7683997717171,7.667072264068825,3.5437525917798753
2.0,2.25,2.125,0.25,214.3160836321255,440,0.48708200825483067,Max. number of function evaluations reached,True,0.31669363636699427,0.009177661509709889,0.010436175059818309,197.35701347364846,7.9780073377958445,9.016567246916424,-0.8323985269503567,0.030745727020999536,0.02947680176693479,0.0005759094966041774,0.00015429766658664072,0.00017204667819741633,16.705263880630852,1.435695600827719,1.3125797327574027,1e-10,0.0,0.0029568850513652647,-1.7683997717171,7.667072264068825,3.5437525917798753
2.25,2.5,2.375,0.25,238.43670786107828,440,0.5419016087751779,Max. number of function evaluations reached,True,0.28810221635667177,0.006457839443735236,0.006860225525329,187.98487391963852,5.968782947971505,6.204402225876038,-0.8497746941113586,0.021994543159752022,0.021731236911159524,0.00038964101805145923,9.720691741787666e-05,0.00013063379742190608,16.56716724933397,1.5538715679581738,1.1977237369422902,1e-10,0.0,0.002334079650648866,-1.5361065093465607,7.560923180892167,3.286532521555584
2.5,2.75,2.625,0.25,189.2552592077601,440,0.4301255891085457,Max. number of function evaluations reached,True,0.28571412706109117,0.011558746742011516,0.009364218344481146,172.0413550778302,8.872634885023814,6.612563685201309,-0.7460976773943102,0.03516993485992814,0.0340872091412322,0.0014477446511030924,0.00039031702454231506,0.0007084107136701365,11.427807630842382,1.22628934416662,1.03040506527325,1.2204741401455887e-05,1.2204641401455887e-05,0.0026198063894431766,-1.7362082022461212,2.629087600638035,1.76116070448198
2.75,3.0,2.875,0.25,189.2552592077601,440,0.4301255891085457,Max. number of function evaluations reached,True,0.28571412706109117,0.011558746742011516,0.009364218344481146,172.0413550778302,8.872634885023814,6.612563685201309,-0.7460976773943102,0.03516993485992814,0.0340872091412322,0.0014477446511030924,0.00039031702454231506,0.0007084107136701365,11.427807630842382,1.22628934416662,1.03040506527325,1.2204741401455887e-05,1.2204641401455887e-05,0.0026198063894431766,-1.7362082022461212,2.629087600638035,1.76116070448198
3.0,3.25,3.125,0.25,189.2552592077601,440,0.4301255891085457,Max. number of function evaluations reached,True,0.28571412706109117,0.011558746742011516,0.009364218344481146,172.0413550778302,8.872634885023814,6.612563685201309,-0.7460976773943102,0.03516993485992814,0.0340872091412322,0.0014477446511030924,0.00039031702454231506,0.0007084107136701365,11.427807630842382,1.22628934416662,1.03040506527325,1.2204741401455887e-05,1.2204641401455887e-05,0.0026198063894431766,-1.7362082022461212,2.629087600638035,1.76116070448198
3.25,3.5,3.375,0.25,225.49775391302248,440,0.5124948952568693,Max. number of function evaluations reached,True,0.2650369616690797,0.006202005178089887,0.006602128579539179,200.61053685094902,7.290929416133878,6.185418756044157,-0.813376097886966,0.02686416321805396,0.021340046089297737,0.00021985997702916177,7.449175468192244e-05,0.00013512662318342528,16.921523134367664,2.311656624990741,1.9727783714758331,4.117474240944441e-05,4.117464240944441e-05,0.0022394944774395214,-1.6248249347035761,1.9518469618412535,1.4176482036492524
