time_start,time_end,time_center,duration,stat,dof,reduced_stat,fit_message,successful_fit,A,A_err_low,A_err_high,Epeak,Epeak_err_low,Epeak_err_high,alpha,alpha_err_low,alpha_err_high,beta,beta_err_low,beta_err_high
1,1.5,1.25,0.5,134.79614371323638,331,0.4072391048738259,Linear search failed,True,0.06791906046569941,0.0027061002416745583,0.0028175095847764453,390.0257314630907,22.674450562030756,24.84771033945998,-0.5235099276793687,0.064865280698153,0.07723327935938579,-4.029829038844518,95.97017096115547,3.829829038844518
1.5,2.0,1.75,0.5,134.7413978066693,331,0.4070737093857079,Max. number of function evaluations reached,True,0.16380472029319498,0.006483920003672983,0.006555839720955969,288.71568039856754,12.507945882529668,12.919932530772655,-0.27690407177161624,0.06566273594305533,0.07066232120674082,-2.090379733566742,0.2912501537709611,1.890379733566742
2.0,2.5,2.25,0.5,170.86657722914293,331,0.5162132242572294,Linear search failed,True,0.2042442642291955,0.00423938044220476,0.004260756515760578,375.03672815176446,10.603194910855962,10.819172555139517,-0.44425869664838835,0.033976557081255576,0.035259756233459616,-2.418895821648107,0.31955927969925435,2.2188958216481067
2.5,3.0,2.75,0.5,162.22610159588,331,0.4901090682654985,Converged (|f_n-f_(n-1)| ~= 0),True,0.25412042124519163,0.006151534914638546,0.00620194219112391,430.2620896476426,15.286720107636256,15.73552620226559,-0.5066149341951824,0.038359553972361016,0.0399170270031472,-3.204233767910168,96.79576623208983,3.0042337679101676
3.0,3.5,3.25,0.5,219.66394475875614,331,0.6636372953436741,Max. number of function evaluations reached,True,0.35076096539846924,0.005462935699850013,0.005488146445060016,332.16810412483994,6.791176990208726,6.883710566186323,-0.444143337658808,0.023350396340038104,0.02390222985235424,-2.3862091682626883,0.17171155629735102,2.186209168262688
3.5,4.0,3.75,0.5,205.72407974729677,331,0.6215228995386609,Linear search failed,True,0.36219002745416906,0.007447647297270155,0.007302134756303702,374.6363951686615,13.208486276897304,9.53478099560408,-0.5482599604860834,0.02909385309168855,0.029904805655134648,-5.002737448015182,94.99726255198482,4.802737448015182
4.0,4.5,4.25,0.5,285.05021809534287,331,0.8611789066324558,Linear search failed,True,0.2743649543727352,0.004100525306104108,0.004197758753991143,478.2527571426691,34.3252629147313,5.1831833999916626,-0.716220194766704,0.020760917589179084,0.021114384519996032,-4.17808965994611,95.82191034005389,3.97808965994611
4.5,5.0,4.75,0.5,169.18249377846303,331,0.5111253588473204,Converged (|f_n-f_(n-1)| ~= 0),True,0.28895854654501735,0.0065846218852666505,0.006657927114540774,354.042782269603,13.038377157409116,13.59009353138913,-0.6486409517565495,0.030789346570902598,0.031799126259709376,-2.4802011525663517,0.5529497744740994,2.2802011525663515
5.0,5.5,5.25,0.5,197.3350208157107,331,0.5961783106214824,Converged (|f_n-f_(n-1)| ~= 0),True,0.23233491335271134,0.004082223088215153,0.0041015866004698864,394.79372661647665,12.466526191375465,12.843660468698602,-0.7107133679964228,0.02389135967526157,0.024482350783567752,-2.52488672843851,0.5151381672618478,2.3248867284385097
5.5,6.0,5.75,0.5,167.0150687762412,331,0.5045772470581306,Converged (|f_n-f_(n-1)| ~= 0),True,0.18137689911396151,0.0050073556094294425,0.005050564451861972,452.39634635074304,24.987909372770673,26.457189912282615,-0.7767647289812629,0.03736956635364652,0.038956027392402226,-2.7550526396162667,97.24494736038373,2.5550526396162665
6.0,6.5,6.25,0.5,182.30098390352336,331,0.5507582595272609,Linear search failed,True,0.1846966766504535,0.0035270951306553555,0.0035449876597533903,486.63137709999717,18.237896196900863,18.906839338522218,-0.7448235613586807,0.02701701222749353,0.02778528582036477,-3.2017000800947315,96.79829991990528,3.0017000800947313
6.5,7.0,6.75,0.5,156.4617183740439,331,0.4726940132146341,Max. number of function evaluations reached,True,0.19038449082705733,0.005059296214875636,0.005103230506142004,503.2779190427488,24.687592524638376,25.903354232073923,-0.6987429929506046,0.039047932641077976,0.040785138742066684,-9.11178770010141,90.88821229989858,8.91178770010141
7.0,7.5,7.25,0.5,167.05491207777192,331,0.5046976195703079,Converged (|f_n-f_(n-1)| ~= 0),True,0.20326429360993942,0.003907808426049653,0.003929332906902339,393.263158559022,13.236214082051504,13.6672008307998,-0.7079919424290786,0.026398522343394126,0.0271691522033225,-3.8182691069418553,96.18173089305814,3.618269106941855
7.5,8.0,7.75,0.5,138.20412794942675,331,0.4175351297565763,Max. number of function evaluations reached,True,0.23874994739132954,0.006664944110237353,0.006720555858678673,280.55573183887174,11.420526817275402,11.834621924798967,-0.6517519201997484,0.03436614408805683,0.03566719676262731,-5.414797816883272,94.58520218311673,5.214797816883272
8.0,8.5,8.25,0.5,170.74860763357546,331,0.5158568206452431,Max. number of function evaluations reached,True,0.22606005724854009,0.004431561151335667,0.004476951247000732,298.67489752003655,9.957430583815835,8.779849109374311,-0.6991993951638964,0.024328854974663527,0.024950443339805783,-7.410153368626197,92.5898466313738,7.210153368626197
8.5,9.0,8.75,0.5,162.62118351717476,331,0.4913026692361775,Max. number of function evaluations reached,True,0.22558990329147674,0.006277750819882688,0.0063296706037207495,298.49096314194975,13.182762810386578,13.777803934161795,-0.7088943421812548,0.03415513327605224,0.03539869113818195,-4.468257656189429,95.53174234381058,4.268257656189429
9.0,9.5,9.25,0.5,223.9146770249472,331,0.6764793867823178,Max. number of function evaluations reached,True,0.24288881733722836,0.004159208499856154,0.004191888657928466,328.91966805107313,10.976393886268909,11.435349507057765,-0.8616761329466556,0.01991340113032858,0.02034036966420416,-10.296333200640042,89.70366679935995,10.096333200640043
