time_start,time_end,time_center,duration,total_counts,amplitude,amplitude_err_low,amplitude_err_high,epeak,epeak_err_low,epeak_err_high,alpha,alpha_err_low,alpha_err_high,beta,beta_err_low,beta_err_high,pgstat,dof,reduced_pgstat,fit_message,successful_fit
1,2,1.5,2,0,0.0585657614478869,0.0017705804946344175,0.002198492964854075,488.2195678050326,41.411329400889656,18.44599537373017,-0.6684752571367092,0.06086524816630401,0.04455839398693873,-2.6422581392952034,7.357741860704797,12.642258139295203,272.78060011515305,480,0.5682929169065688,Linear search failed,True
3,4,3.5,2,0,0.34437108897272123,0.004923659934815472,0.004944568714695896,340.13175264430026,5.919918286600819,5.986660001012922,-0.4653794931786308,0.021005384523136328,0.02132809892021914,-2.4098105336615645,0.11579659012806154,12.409810533661565,338.84568623253773,480,0.7059285129844536,Linear search failed,True
5,6,5.5,2,0,0.24292956674197444,0.0038757692561190993,0.003899984377105925,364.2112766656063,9.109243675210962,9.326110950292673,-0.6947799216741721,0.021084022603937935,0.021402679107252798,-2.2810708611254267,0.13009954666542223,12.281070861125427,336.3768396557129,480,0.7007850826160685,Converged (|f_n-f_(n-1)| ~= 0),True
7,8,7.5,2,0,0.2057678020606553,0.0035720443907241994,0.003595067813634334,383.9411875234298,10.457203494460828,10.726829735579543,-0.7159653914384787,0.022966000932543973,0.023359566410394494,-3.0520109124154886,6.947989087584512,13.052010912415488,295.39920769931666,480,0.6154150160402431,Linear search failed,True
9,10,9.5,2,0,0.2550724353690024,0.004015458696169982,0.004038723060701965,302.2530697144602,8.006592352567338,8.219476895967887,-0.8451273788891704,0.017673107839339508,0.017857235359952983,-3.336819502672448,6.663180497327552,13.336819502672448,356.68728994118817,480,0.7430985207108087,Converged (|f_n-f_(n-1)| ~= 0),True
11,12,11.5,2,0,0.28039490582743354,0.004528016886365727,0.00456841250682577,241.63301459245963,5.804605102474312,5.97168779029451,-0.7962857674870438,0.01693898396078075,0.017062622510712777,-9.998639596144468,0.0013604038555321551,19.998639596144468,315.2255748385266,480,0.6567199475802638,Converged (|f_n-f_(n-1)| ~= 0),True
13,14,13.5,2,0,0.09505852134913784,0.002805399041503717,0.002840194412392638,197.1669013176454,10.319742841430212,10.973483983808734,-0.9963961997944217,0.02683177861643271,0.02739728223184834,-10.0,0.0,20.0,271.61989001197963,480,0.5658747708582909,Linear search failed,True
15,16,15.5,2,0,0.07280428052310833,0.002873601876733231,0.002916918362949772,145.7053591622398,8.798815178723487,9.441144895378699,-0.9733311318307472,0.03200415486496988,0.03294155606362603,-9.349761830010895,0.6502381699891053,19.349761830010895,235.9624303883245,480,0.4915883966423427,Converged (|f_n-f_(n-1)| ~= 0),True
17,18,17.5,2,0,0.009462651453467827,0.000780311089010749,0.0007956761940789078,500.5185716945717,348.7626000630694,inf,-1.749635386144483,0.061301953440233925,0.06623237158432804,-2.461251261126238,7.538748738873762,12.461251261126238,277.8933865887098,480,0.5789445553931454,Linear search failed,True
19,20,19.5,2,0,0.00505002118499645,0.0007032871715344944,0.0007183222441053648,602.6669653760449,493.1446651363751,inf,-1.7563976655991915,0.10010870025968388,0.11682383297513188,-3.5022819149541395,6.497718085045861,13.502281914954139,248.07045394496137,480,0.5168134457186695,Linear search failed,True
