time_start,time_end,time_center,duration,total_counts,amplitude,amplitude_err_low,amplitude_err_high,epeak,epeak_err_low,epeak_err_high,alpha,alpha_err_low,alpha_err_high,beta,beta_err_low,beta_err_high,pgstat,dof,reduced_pgstat,fit_message,successful_fit
1,1,1.0,1,0,0.02146436020856625,0.0020952038843744768,0.002152365955253255,381.7603548203505,65.58027339187487,80.36364513361912,-0.8147412027783201,0.129891830469121,0.15296054622617383,-5.777028726728464,4.222971273271536,5.5770287267284635,253.60334976297426,480,0.5283403120061964,Converged (|f_n-f_(n-1)| ~= 0),True
2,2,2.0,1,0,0.10967547885172114,0.003656781302565207,0.0038641196847401388,480.8782101321011,36.8275883583438,17.168649084344338,-0.6020982791981737,0.05244528689621686,0.054129399831151837,-2.6753939982704957,1.4631555661695272,2.4753939982704956,284.2325804798376,480,0.592151209332995,Linear search failed,True
3,3,3.0,1,0,0.25825878766480354,0.005667205414919496,0.00572425757981998,418.3763925059307,11.911364712354555,12.204297101571626,-0.5088799756794185,0.03375327212990897,0.03463541730264941,-2.791422200143861,0.7287444961424718,2.5914222001438607,273.2336619375922,480,0.5692367957033171,Converged (|f_n-f_(n-1)| ~= 0),True
4,4,4.0,1,0,0.44813118040581823,0.008400148218448977,0.008480279496794918,288.2812550180487,6.131087513216357,6.232227292555251,-0.41416547595891373,0.02611272170211837,0.026600151107280923,-2.281352494979875,0.10664155091498495,2.0813524949798747,291.18626439659124,480,0.6066380508262318,Converged (|f_n-f_(n-1)| ~= 0),True
5,5,5.0,1,0,0.29881048024158885,0.006223542056944753,0.006282414292391181,336.0784966632202,10.112076222349515,10.397841040080039,-0.6382714900788145,0.027513085355413525,0.028072647006811557,-2.275094097595549,0.1536748757989419,2.075094097595549,305.2674627121983,480,0.6359738806504132,Linear search failed,True
6,6,6.0,1,0,0.19105376062714624,0.004711765813226354,0.004774668524625769,404.66030041893066,17.27451102788541,18.073390533915358,-0.7617872259656391,0.03238681406219823,0.03318626461575114,-2.2800819108713988,0.2740082856106203,2.0800819108713986,294.7757777052006,480,0.6141162035525013,Converged (|f_n-f_(n-1)| ~= 0),True
7,7,7.0,1,0,0.19236834333979613,0.004574943700254436,0.004625414621501317,493.69329338825094,19.25665294889933,20.048850643374067,-0.7121084019871748,0.03335673622580004,0.03419673400855938,-3.400572132416322,6.599427867583678,3.2005721324163217,281.8731062925626,480,0.5872356381095055,Converged (|f_n-f_(n-1)| ~= 0),True
8,8,8.0,1,0,0.23418787189945542,0.005924640474866544,0.005957572320092919,287.10399239969865,10.05126477325399,10.28333776407203,-0.6792691796252832,0.030287008784283365,0.03096806648678352,-8.81446950483505,1.1855304951649508,8.61446950483505,256.474500718361,480,0.5343218764965855,Max. number of function evaluations reached,True
9,9,9.0,1,0,0.22672913655969645,0.005693729696554878,0.005762036668701953,295.9400868855395,10.849958457428158,11.270433371881268,-0.7232751223322822,0.02985612631742318,0.030530891809600114,-9.593340403572686,0.4066595964273141,9.393340403572687,306.95936800629374,480,0.6394986833464453,Linear search failed,True
10,10,10.0,1,0,0.28216606701020386,0.005674345461495756,0.005726076739359043,312.880772318671,11.66632183451037,12.175500075719015,-0.9306738909165961,0.021751526203686478,0.02204039832540483,-3.5341632738511173,6.465836726148883,3.334163273851117,299.6339409031086,480,0.6242373768814763,Linear search failed,True
11,11,11.0,1,0,0.33212615328207257,0.007061734812411236,0.007102785818290547,258.0933206349579,7.507309412420113,7.649335107673892,-0.699705076994487,0.023808256821909457,0.024102670191012088,-8.394881346969703,1.6051186530302974,8.194881346969703,281.6736928853154,480,0.5868201935110737,Max. number of function evaluations reached,True
12,12,12.0,1,0,0.2357902350256966,0.005850488144700544,0.005920928674154807,212.56789595297647,8.428129087610188,8.796801385865479,-0.8985220800848754,0.02366725216743093,0.024068682934557883,-9.995412532523218,0.004587467476781626,9.795412532523219,289.9170558681312,480,0.60399386639194,Max. number of function evaluations reached,True
13,13,13.0,1,0,0.12623168422059758,0.004426322215530021,0.004521754479831996,216.635283385503,13.393216482133056,13.039706394354482,-0.933078673106527,0.03382664936894686,0.034705740832381426,-4.751122482731513,5.248877517268487,4.551122482731513,286.25428264681796,480,0.5963630888475374,Max. number of function evaluations reached,True
14,14,14.0,1,0,0.06977241953106854,0.003684673202650965,0.0037928846554111106,149.16155576796973,13.325434620002966,15.35464784594194,-1.0606533607088675,0.042308339122774985,0.043864124312266384,-4.5949215174669,5.4050784825331,4.3949215174669,237.81082255409774,480,0.49543921365437027,Max. number of function evaluations reached,True
15,15,15.0,1,0,0.04115116936147226,0.0026362554283685252,0.0026978930689646116,187.46689119134305,26.913956192566417,33.07136753032498,-1.2136591822153555,0.05300993991531677,0.05597620125474201,-10.0,0.0,9.8,242.62750454980764,480,0.5054739678120993,Linear search failed,True
16,16,16.0,1,0,0.11644093877514429,0.005779336534838447,0.005907283125444612,128.30244658663725,7.56507121218705,8.056326015470063,-0.77905014539345,0.03949705536756376,0.04087826538077943,-9.99932979504984,0.0006702049501594587,9.799329795049841,256.46828097201427,480,0.5343089186916964,Converged (|f_n-f_(n-1)| ~= 0),True
17,17,17.0,1,0,0.011021339130911995,0.0010746981876698977,0.001103618219252549,443.5272930556927,363.1434788184795,inf,-1.8099652345917008,0.06994891776325907,0.07621889930848225,-2.0073756274300822,7.992624372569917,1.8073756274300823,286.0651076685882,480,0.5959689743095588,Linear search failed,True
18,18,18.0,1,0,0.007966474510401915,0.0011664835390245874,0.0011988254977775298,504.25001716409037,367.6737754980224,inf,-1.6483559132234458,0.11160716549627114,0.13198542164012816,-2.46215635846639,7.53784364153361,2.26215635846639,245.48625913757485,480,0.5114297065366142,Converged (|f_n-f_(n-1)| ~= 0),True
19,19,19.0,1,0,0.005712954774691148,0.0010216770834723197,0.001053001901890306,504.2938085492002,426.64921205383666,inf,-1.7440073792741284,0.12670468940612234,0.15443868881439737,-2.4653968178083305,7.5346031821916695,2.2653968178083304,290.72981680129124,480,0.6056871183360234,Linear search failed,True
20,20,20.0,1,0,0.004416889445835615,0.0009629353016165645,0.0009933325624565878,601.6143220801499,542.8420093477963,inf,-1.7694583406611724,0.13054165933882755,0.1931862048531463,-3.0114304693716147,6.988569530628386,2.8114304693716146,234.8173823582243,480,0.4892028799129673,Linear search failed,True
